id,label,campus,capa,diagrams
AETUC-0A-A76,AETUC-0A-A76,Campus Central,acceso,3
AETUC-0A-A97,AETUC-0A-A97,Campus Central,acceso,3
AETUCCF-2A-A79,AETUCCF-2A-A79,Campus Central,acceso,3
AGRPRI-1A-A19,AGRPRI-1A-A19,Campus Yanuncay,acceso,25
AGRPRI-1A-D10,AGRPRI-1A-D10,Campus Yanuncay,agregacion,0;25
ANF-0A-A14,ANF-0A-A14,Campus Yanuncay,acceso,25
ARQ-0A-A84,ARQ-0A-A84,Campus Central,acceso,10
ARQ-0A-A85,ARQ-0A-A85,Campus Central,acceso,10
ARQ-0B-A87,ARQ-0B-A87,Campus Central,acceso,10
ARQ-0D-A88,ARQ-0D-A88,Campus Central,acceso,10
ARQ-0D-A89,ARQ-0D-A89,Campus Central,acceso,10
ARQ-0D-A90,ARQ-0D-A90,Campus Central,acceso,10
ARQ-0G-A93-CEPAUC,ARQ-0G-A93-CEPAUC,Campus Central,acceso,10
ARQ-1C-A86,ARQ-1C-A86,Campus Central,acceso,10
ARQ-1C-A96,ARQ-1C-A96,Campus Central,acceso,10
ARQ-1E-A91,ARQ-1E-A91,Campus Central,acceso,10
ARQ-1E-A92,ARQ-1E-A92,Campus Central,acceso,10
ART-0A-A15,ART-0A-A15,Campus Yanuncay,acceso,25
AUL1-2A-A110,AUL1-2A-A110,Campus Balzay,acceso,18
AUL1-2A-A111,AUL1-2A-A111,Campus Balzay,acceso,18
AUL1-3A-A104,AUL1-3A-A104,Campus Balzay,acceso,18
AUL1-3A-A112,AUL1-3A-A112,Campus Balzay,acceso,18
AUL2-01A-A124-SUBLAB2,AUL2-01A-A124-SUBLAB2,Campus Balzay,acceso,19
AUL2-01A-A24-SUB,AUL2-01A-A24-SUB,Campus Balzay,acceso,19
AUL2-0A-A106,AUL2-0A-A106,Campus Balzay,acceso,19
AUL2-0A-A118,AUL2-0A-A118,Campus Balzay,acceso,19
AUL2-0A-A119,AUL2-0A-A119,Campus Balzay,acceso,19
AUL2-0A-A120,AUL2-0A-A120,Campus Balzay,acceso,19
AUL2-0A-A121,AUL2-0A-A121,Campus Balzay,acceso,19
AUL2-0A-A122,AUL2-0A-A122,Campus Balzay,acceso,19
AUL2-0A-A123,AUL2-0A-A123,Campus Balzay,acceso,19
BAL-AUL1-D4,BAL-AUL1-D4,Campus Balzay,agregacion,17;18
BAL-AUL2-D1,BAL-AUL2-D1,Campus Balzay,agregacion,17;19;22
