alpha,n_fallidos,fraccion,pasos,nodo_inicial
0.0,12,0.06779661016949153,1,DATCC-2A-C3
0.05,9,0.05084745762711865,2,DATCC-2A-C3
0.1,9,0.05084745762711865,2,DATCC-2A-C3
0.2,8,0.04519774011299435,1,DATCC-2A-C3
0.3,8,0.04519774011299435,1,DATCC-2A-C3
0.5,8,0.04519774011299435,1,DATCC-2A-C3
0.7,8,0.04519774011299435,1,DATCC-2A-C3
1.0,8,0.04519774011299435,1,DATCC-2A-C3
1.5,5,0.02824858757062147,1,DATCC-2A-C3
2.0,3,0.01694915254237288,1,DATCC-2A-C3
