nodo,campus,capa,btw_norm,es_articulacion,en_corte,danio_cascada_norm,ICC,rank
CMED-0A-A42,Campus Central,acceso,0.0,0,0,0.0909,0.0182,102
CEA-0A-A108,Campus Balzay,acceso,0.0,0,0,0.0909,0.0182,103
CCJ-1A-A10,Campus Central,acceso,0.0,0,0,0.0909,0.0182,104
CCJ-1A-A11,Campus Central,acceso,0.0,0,0,0.0909,0.0182,105
CTBLOQ3-0A-A103,Campus Balzay,acceso,0.0,0,0,0.0909,0.0182,106
CTBLOQ2-0A-A102,Campus Balzay,acceso,0.0,0,0,0.0909,0.0182,107
CEN-1A-A20,Campus Yanuncay,acceso,0.0,0,0,0.0909,0.0182,108
CENDIA-0A-A19,Campus Paraiso,acceso,0.0,0,0,0.0909,0.0182,109
CCADM-2A-A45,Campus Central,acceso,0.0,0,0,0.0909,0.0182,110
CCBIB-1A-A71,Campus Central,acceso,0.0,0,0,0.0909,0.0182,111
CCADM-2A-A43,Campus Central,acceso,0.0,0,0,0.0909,0.0182,112
CCADM-2A-A44,Campus Central,acceso,0.0,0,0,0.0909,0.0182,113
MEDADM-0G-A17,Campus Paraiso,acceso,0.0,0,0,0.0909,0.0182,114
MEDADM-0F-A16,Campus Paraiso,acceso,0.0,0,0,0.0909,0.0182,115
LAC-0A-A17,Campus Yanuncay,acceso,0.0,0,0,0.0909,0.0182,116
LABMAC-1A-A13,Campus Yanuncay,acceso,0.0,0,0,0.0909,0.0182,117
LAB-1A-A18,Campus Yanuncay,acceso,0.0,0,0,0.0909,0.0182,118
JUR-1A-A62,Campus Central,acceso,0.0,0,0,0.0909,0.0182,119
JUR-1A-A61,Campus Central,acceso,0.0,0,0,0.0909,0.0182,120
JUR-0A-A60,Campus Central,acceso,0.0,0,0,0.0909,0.0182,121
JUR-0A-A59,Campus Central,acceso,0.0,0,0,0.0909,0.0182,122
INV-1B-A162,Campus Paraiso,acceso,0.0,0,0,0.0909,0.0182,123
INV-1A-A61,Campus Paraiso,acceso,0.0,0,0,0.0909,0.0182,124
